ProximityRank,Distance,Facility Name,Address,City/Town,State,Zipcode,Latitude,Longitude,Zipcode-1,Latitude-1,Longitude-1,City,State-1
1,11.216894522,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,42.0892,-93.85378,50212,42.03515,-94.05996,Ogden,IA
1,8.165894719,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,42.76363,-92.43775,50622,42.67358,-92.33358,Denver,IA
1,10.889779997,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,311 SOUTH CLARK STREET,CARROLL,IA,51401,42.06516,-94.87068,51436,42.18254,-95.01247,Breda,IA
1,9.090427191,GENESIS MEDICAL CENTER-DEWITT,1118 11TH STREET,DEWITT,IA,52742,41.83616,-90.51076,52731,41.96637,-90.48551,Charlotte,IA
1,9.117207558,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA,IA,51040,42.03073,-96.0706,51063,42.13103,-96.18611,Whiting,IA
1,7.531349059,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,42.32719,-95.46724,51006,42.31088,-95.61299,Battle Creek,IA
1,6.767533201,HUMBOLDT COUNTY MEMORIAL HOSPITAL,1000 NORTH 15TH STREET,HUMBOLDT,IA,50548,42.71275,-94.22645,50582,42.79338,-94.30217,Rutland,IA
1,12.927976101,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,AMES,IA,50010,42.03316,-93.58761,50243,41.86457,-93.6967,Sheldahl,IA
1,5.290181148,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.84768,-91.21174,52601,40.8551,-91.111,Burlington,IA
1,12.484312001,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.84768,-91.21174,52637,41.01949,-91.13774,Mediapolis,IA
1,7.624872831,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,42.03337,-93.44434,50056,42.01925,-93.29701,Colo,IA
1,14.904254413,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.84768,-91.21174,52627,40.65973,-91.35145,Fort Madison,IA
1,15.311960467,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,42.84403,-91.42201,52157,43.01661,-91.23216,McGregor,IA
1,10.811330573,MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,41.6049,-93.63102,50111,41.69353,-93.80358,Grimes,IA
1,10.811330573,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES,IA,50314,41.6049,-93.63102,50111,41.69353,-93.80358,Grimes,IA
1,7.747482888,CHI HEALTH MERCY COUNCIL BLUFFS,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,41.2304,-95.77795,51554,41.14512,-95.68122,Mineola,IA
1,7.747482888,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,41.2304,-95.77795,51554,41.14512,-95.68122,Mineola,IA
1,9.353193436,MADISON COUNTY HEALTH CARE SYSTEM,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,41.32838,-94.05606,50222,41.21701,-93.95369,Peru,IA
1,19.650833032,UNIVERSITY OF IOWA HEALTH CARE MEDICAL CENTER DOWN,500 E MARKET STREET,IOWA CITY,IA,52245,41.67071,-91.50666,52772,41.75006,-91.14083,Tipton,IA
1,0,TRINITY - BETTENDORF,4500 UTICA RIDGE ROAD,BETTENDORF,IA,52722,41.56633,-90.4673,52722,41.56633,-90.4673,Bettendorf,IA
1,0,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,42.84403,-91.42201,52043,42.84403,-91.42201,Elkader,IA
1,0,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.29923,-91.71596,52353,41.29923,-91.71596,Washington,IA
1,7.882643657,MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,41.6049,-93.63102,50131,41.69749,-93.72021,Johnston,IA
1,7.882643657,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES,IA,50314,41.6049,-93.63102,50131,41.69749,-93.72021,Johnston,IA
1,11.090598626,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,AMES,IA,50010,42.03316,-93.58761,50248,42.19256,-93.61297,Story City,IA
1,18.454161346,MYRTUE MEDICAL CENTER,1213 GARFIELD AVENUE,HARLAN,IA,51537,41.64646,-95.29531,51536,41.38385,-95.36025,Hancock,IA
1,11.075508460,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,42.51114,-91.13884,52053,42.60656,-90.96399,Holy Cross,IA
1,9.204121402,CHI HEALTH MISSOURI VALLEY,631 N 8TH ST,MISSOURI VALLEY,IA,51555,41.55937,-95.91398,51546,41.6399,-95.77209,Logan,IA
1,10.153694390,COMPASS MEMORIAL HEALTHCARE,300 W MAY ST,MARENGO,IA,52301,41.78658,-92.09013,52257,41.91836,-92.17742,Luzerne,IA
1,12.248446507,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,311 SOUTH CLARK STREET,CARROLL,IA,51401,42.06516,-94.87068,51467,42.07377,-95.10919,Westside,IA
1,0,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE STREET,CRESTON,IA,50801,41.07959,-94.39224,50801,41.07959,-94.39224,Creston,IA
1,0,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,41.68765,-94.55501,50115,41.68765,-94.55501,Guthrie Center,IA
1,14.844181805,UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,1200 PLEASANT STREET,DES MOINES,IA,50309,41.58448,-93.62152,50169,41.65617,-93.35062,Mitchellville,IA
1,10.219429356,BUCHANAN COUNTY HEALTH CENTER,1600 FIRST ST EAST,INDEPENDENCE,IA,50644,42.47751,-91.89721,50648,42.45182,-92.09465,Jesup,IA
1,0,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,42.51114,-91.13884,52040,42.51114,-91.13884,Dyersville,IA
1,7.662924968,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,41.42243,-92.90132,50143,41.34245,-92.79893,Leighton,IA
1,10.213545336,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,IA,50138,41.30246,-93.10534,50225,41.3823,-93.27103,Pleasantville,IA
1,12.298529374,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,41.68765,-94.55501,50048,41.51167,-94.51936,Casey,IA
1,10.652932797,GUTTENBERG MUNICIPAL HOSPITAL,200 MAIN STREET,GUTTENBERG,IA,52052,42.7411,-91.12083,52049,42.8823,-91.20521,Garnavillo,IA
1,8.065197113,VAN BUREN COUNTY HOSPITAL,304 FRANKLIN STREET,KEOSAUQUA,IA,52565,40.74005,-91.94332,52573,40.62378,-91.92979,Mount Sterling,IA
1,6.844511804,HAWARDEN REGIONAL HEALTHCARE,1111 11TH STREET,HAWARDEN,IA,51023,43.00893,-96.46845,51011,42.91562,-96.51388,Chatsworth,IA
1,0,GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,DAVENPORT,IA,52803,41.53871,-90.55623,52803,41.53871,-90.55623,Davenport,IA
1,7.914966400,"SARTORI MEMORIAL HOSPITAL, INC",515 COLLEGE STREET,CEDAR FALLS,IA,50613,42.53358,-92.49069,50647,42.64787,-92.48026,Janesville,IA
1,14.878814810,GRINNELL REGIONAL MEDICAL CENTER,210 FOURTH AVENUE,GRINNELL,IA,50112,41.7319,-92.71591,52339,41.92313,-92.58307,Tama,IA
1,11.401920277,GRINNELL REGIONAL MEDICAL CENTER,210 FOURTH AVENUE,GRINNELL,IA,50112,41.7319,-92.71591,50106,41.88213,-92.80749,Gilman,IA
1,0,JONES REGIONAL MEDICAL CENTER,1795 HIGHWAY 64 EAST,ANAMOSA,IA,52205,42.11754,-91.28806,52205,42.11754,-91.28806,Anamosa,IA
1,15.054685776,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA,IA,51040,42.03073,-96.0706,51026,42.24857,-96.07592,Hornick,IA
1,7.925593238,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,41.03828,-92.43252,52530,40.98953,-92.29492,Agency,IA
1,10.058812144,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA,IA,50511,43.07483,-94.21894,50560,42.95581,-94.1043,Lu Verne,IA
1,11.110252470,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,42.03337,-93.44434,50278,42.1528,-93.29926,Zearing,IA
1,13.763916660,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE,IA,50501,42.49244,-94.18967,50586,42.40472,-94.43204,Somers,IA
1,5.774176307,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES,IA,50314,41.6049,-93.63102,50322,41.63383,-93.73589,Urbandale,IA
1,5.774176307,MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,41.6049,-93.63102,50322,41.63383,-93.73589,Urbandale,IA
1,15.701958208,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY,IA,52591,41.31988,-92.19465,50104,41.49458,-92.38841,Gibson,IA
1,5.716611043,MERCYONE WATERLOO MEDICAL CENTER,3421 WEST NINTH STREET,WATERLOO,IA,50702,42.45745,-92.31283,50634,42.4181,-92.21422,Gilbertville,IA
1,9.463233864,OSCEOLA COMMUNITY HOSPITAL,600 9TH AVENUE NORTH,SIBLEY,IA,51249,43.41068,-95.73203,51354,43.41267,-95.54352,Ocheyedan,IA
1,12.723726779,MONROE COUNTY HOSPITAL,6580 165TH STREET,ALBIA,IA,52531,41.02684,-92.81562,50044,41.20247,-92.88907,Bussey,IA
1,8.604544428,MERCYONE SIOUXLAND MEDICAL CENTER,801 5TH ST,SIOUX CITY,IA,51101,42.49413,-96.39361,51054,42.37832,-96.33159,Sergeant Bluff,IA
1,12.936323216,MITCHELL COUNTY REGIONAL HEALTH,616 NORTH EIGHTH STREET,OSAGE,IA,50461,43.29995,-92.81412,50426,43.41507,-93.01718,Carpenter,IA
1,11.258621845,MAHASKA  HEALTH PARTNERSHIP,1229 C AVENUE EAST,OSKALOOSA,IA,52577,41.27174,-92.6602,52586,41.34573,-92.46694,Rose Hill,IA
1,10.444710678,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,AMES,IA,50010,42.03316,-93.58761,50046,41.88974,-93.5234,Cambridge,IA
1,9.284194156,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,909 WEST FIRST STREET,SUMNER,IA,50674,42.84202,-92.11746,50630,42.95651,-92.21346,Fredericksburg,IA
1,11.030308405,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY,IA,52591,41.31988,-92.19465,52563,41.17295,-92.27765,Hedrick,IA
1,11.100627628,HUMBOLDT COUNTY MEMORIAL HOSPITAL,1000 NORTH 15TH STREET,HUMBOLDT,IA,50548,42.71275,-94.22645,50558,42.86717,-94.16607,Livermore,IA
1,11.082411418,GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS,112 JEFFERSON STREET,WEST UNION,IA,52175,42.99372,-91.82389,52133,43.10702,-91.66854,Castalia,IA
1,0,CHI HEALTH - MERCY CORNING,603 ROSARY DRIVE,CORNING,IA,50841,41.01147,-94.76342,50841,41.01147,-94.76342,Corning,IA
1,7.580253687,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,42.76363,-92.43775,50666,42.85995,-92.50933,Plainfield,IA
1,8.716251086,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY,IA,52591,41.31988,-92.19465,52550,41.31635,-92.36254,Delta,IA
1,8.554511928,VIRGINIA GAY HOSPITAL,502 NORTH 9TH AVENUE,VINTON,IA,52349,42.17246,-92.00566,52229,42.14609,-92.16884,Garrison,IA
1,13.125830833,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,42.0892,-93.85378,50156,41.90349,-93.80001,Madrid,IA
1,10.185406734,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY,IA,51449,42.26614,-94.73475,50579,42.39356,-94.6345,Rockwell City,IA
1,12.093738199,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA,IA,50511,43.07483,-94.21894,50519,42.90314,-94.26542,Bode,IA
1,10.060303862,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,42.02696,-95.35915,51528,41.92724,-95.50185,Dow City,IA
1,14.396386612,MERCYONE NEWTON MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,50208,41.71129,-93.03924,50234,41.89165,-93.17916,Rhodes,IA
1,8.681087972,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,GREENFIELD,IA,50849,41.30004,-94.40176,50846,41.31081,-94.56839,Fontanelle,IA
1,12.215072444,DALLAS COUNTY HOSPITAL,610 TENTH STREET,PERRY,IA,50220,41.8366,-94.12293,50277,41.77867,-94.347,Yale,IA
1,11.468574556,LAKES REGIONAL HEALTHCARE,2301 HIGHWAY 71,SPIRIT LAKE,IA,51360,43.43626,-95.08556,51347,43.42547,-95.31363,Lake Park,IA
1,11.629501350,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,42.84403,-91.42201,52042,42.68098,-91.36517,Edgewood,IA
1,13.042072999,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,42.03337,-93.44434,50161,41.84764,-93.39914,Maxwell,IA
1,7.628010208,VIRGINIA GAY HOSPITAL,502 NORTH 9TH AVENUE,VINTON,IA,52349,42.17246,-92.00566,52313,42.25955,-92.09726,Mount Auburn,IA
1,7.241337182,MERCYONE OELWEIN MEDICAL CENTER,201 EIGHTH AVENUE SE,OELWEIN,IA,50662,42.68748,-91.93396,50671,42.6523,-91.7997,Stanley,IA
1,8.047485241,PALO ALTO COUNTY HOSPITAL,3201 1ST STREET,EMMETSBURG,IA,50536,43.11605,-94.69716,50528,43.13717,-94.54023,Cylinder,IA
1,20.256179843,GENESIS MEDICAL CENTER-DEWITT,1118 11TH STREET,DEWITT,IA,52742,41.83616,-90.51076,52765,41.72182,-90.87274,New Liberty,IA
1,0,"SARTORI MEMORIAL HOSPITAL, INC",515 COLLEGE STREET,CEDAR FALLS,IA,50613,42.53358,-92.49069,50613,42.53358,-92.49069,Cedar Falls,IA
1,7.394738224,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,41.43798,-91.05802,52749,41.34608,-91.13112,Fruitland,IA
1,13.656690345,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,42.32719,-95.46724,51018,42.44884,-95.67814,Cushing,IA
1,16.717328406,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,IA,50138,41.30246,-93.10534,50166,41.28289,-93.42629,Milo,IA
1,8.974410545,CHEROKEE REGIONAL MEDICAL CENTER,300 SIOUX VALLEY DRIVE,CHEROKEE,IA,51012,42.74474,-95.56171,51049,42.63005,-95.64463,Quimby,IA
1,17.891986217,JONES REGIONAL MEDICAL CENTER,1795 HIGHWAY 64 EAST,ANAMOSA,IA,52205,42.11754,-91.28806,52337,41.88217,-91.14282,Stanwood,IA
1,11.425968044,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,CORYDON,IA,50060,40.75508,-93.31922,52590,40.6654,-93.13594,Seymour,IA
1,8.828107379,SIOUX CENTER HEALTH,1101 9TH STREET SE,SIOUX CENTER,IA,51250,43.08437,-96.21232,51239,43.20238,-96.14522,Hull,IA
1,11.931270041,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,41.43798,-91.05802,52720,41.59064,-91.16578,Atalissa,IA
1,14.793956454,FLOYD COUNTY MEDICAL CENTER,800 11TH ST,CHARLES CITY,IA,50616,43.07978,-92.66104,50636,42.89439,-92.80745,Greene,IA
1,12.975071742,WINNMED,901 MONTGOMERY STREET,DECORAH,IA,52101,43.35741,-91.76494,52132,43.2067,-91.91881,Calmar,IA
1,0,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.84768,-91.21174,52655,40.84768,-91.21174,West Burlington,IA
1,13.620130841,DALLAS COUNTY HOSPITAL,610 TENTH STREET,PERRY,IA,50220,41.8366,-94.12293,50063,41.69669,-93.93677,Dallas Center,IA
1,16.791131320,MADISON COUNTY HEALTH CARE SYSTEM,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,41.32838,-94.05606,50241,41.30771,-93.73368,Saint Marys,IA
1,11.300617130,COMPASS MEMORIAL HEALTHCARE,300 W MAY ST,MARENGO,IA,52301,41.78658,-92.09013,52208,41.88568,-92.26475,Belle Plaine,IA
1,11.105325730,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,IA,52641,40.98799,-91.58531,52654,41.13581,-91.66898,Wayland,IA
1,9.787661752,HANCOCK COUNTY HEALTH SYSTEM,532 1ST ST NW,BRITT,IA,50423,43.11054,-93.81244,50438,43.11018,-93.61841,Garner,IA
1,12.126864053,UNITYPOINT HEALTH - MARSHALLTOWN,55 UNITYPOINT WAY,MARSHALLTOWN,IA,50158,42.05016,-92.90143,50162,41.92563,-93.06781,Melbourne,IA
1,9.469886225,VETERANS MEMORIAL HOSPITAL,40 1ST STREET SE,WAUKON,IA,52172,43.27117,-91.48382,52170,43.22886,-91.30485,Waterville,IA
1,15.067508940,UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,1200 PLEASANT STREET,DES MOINES,IA,50309,41.58448,-93.62152,50038,41.52186,-93.90064,Booneville,IA
1,13.557491347,UNITYPOINT HEALTH - MARSHALLTOWN,55 UNITYPOINT WAY,MARSHALLTOWN,IA,50158,42.05016,-92.90143,50051,42.13875,-93.13736,Clemons,IA
1,12.706362076,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,42.0892,-93.85378,50249,42.26991,-93.89973,Stratford,IA
1,6.282045471,COMPASS MEMORIAL HEALTHCARE,300 W MAY ST,MARENGO,IA,52301,41.78658,-92.09013,52220,41.72661,-91.99853,Conroy,IA
1,9.664738377,"SARTORI MEMORIAL HOSPITAL, INC",515 COLLEGE STREET,CEDAR FALLS,IA,50613,42.53358,-92.49069,50624,42.46874,-92.65879,Dike,IA
1,16.099218788,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,41.03292,-93.76557,50254,40.99045,-94.06917,Thayer,IA
1,12.772388065,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,BELMOND,IA,50421,42.84246,-93.62148,50479,42.94121,-93.4082,Thornton,IA
1,8.186133871,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,BELMOND,IA,50421,42.84246,-93.62148,50457,42.91418,-93.4928,Meservey,IA
1,9.682858044,JEFFERSON COUNTY HEALTH CENTER,2000 S MAIN,FAIRFIELD,IA,52556,41.01842,-91.9264,52567,40.93174,-92.07224,Libertyville,IA
1,12.022085870,VETERANS MEMORIAL HOSPITAL,40 1ST STREET SE,WAUKON,IA,52172,43.27117,-91.48382,52140,43.44173,-91.53108,Dorchester,IA
1,12.402364979,HAWARDEN REGIONAL HEALTHCARE,1111 11TH STREET,HAWARDEN,IA,51023,43.00893,-96.46845,51001,42.83854,-96.54551,Akron,IA
1,15.781376854,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,42.0892,-93.85378,50530,42.27021,-94.04173,Dayton,IA
1,8.327885363,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,42.76363,-92.43775,50676,42.7943,-92.27895,Tripoli,IA
1,12.142283886,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,42.02696,-95.35915,51439,42.08298,-95.58347,Charter Oak,IA
1,0,SIOUX CENTER HEALTH,1101 9TH STREET SE,SIOUX CENTER,IA,51250,43.08437,-96.21232,51250,43.08437,-96.21232,Sioux Center,IA
1,9.585503398,FLOYD VALLEY HEALTHCARE,714 LINCOLN ST NE,LE MARS,IA,51031,42.80282,-96.18092,51038,42.7056,-96.31569,Merrill,IA
1,26.129404863,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA,IA,50511,43.07483,-94.21894,50556,43.45276,-94.20114,Ledyard,IA
1,12.929001937,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,42.51114,-91.13884,52237,42.34368,-91.25193,Hopkinton,IA
1,12.031185183,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE,IA,50501,42.49244,-94.18967,50557,42.35544,-94.04409,Lehigh,IA
1,10.416672992,DALLAS COUNTY HOSPITAL,610 TENTH STREET,PERRY,IA,50220,41.8366,-94.12293,50276,41.85997,-93.923,Woodward,IA
1,9.641669726,MERCYONE CENTERVILLE MEDICAL CENTER,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,40.71774,-92.90831,52593,40.77363,-92.73955,Udell,IA
1,11.589326793,POCAHONTAS COMMUNITY HOSPITAL,606 N W 7TH STREET,POCAHONTAS,IA,50574,42.71891,-94.69967,50573,42.8768,-94.62255,Plover,IA
1,15.767608951,UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,1200 PLEASANT STREET,DES MOINES,IA,50309,41.58448,-93.62152,50160,41.37385,-93.7387,Martensdale,IA
1,9.319761025,HANCOCK COUNTY HEALTH SYSTEM,532 1ST ST NW,BRITT,IA,50423,43.11054,-93.81244,50483,43.11174,-93.99719,Wesley,IA
1,9.300438231,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,42.02696,-95.35915,51465,42.08964,-95.19872,Vail,IA
1,6.189552990,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.29923,-91.71596,52359,41.35428,-91.81006,West Chester,IA
1,13.668185334,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,41.68765,-94.55501,50058,41.85773,-94.69044,Coon Rapids,IA
1,11.842308058,POCAHONTAS COMMUNITY HOSPITAL,606 N W 7TH STREET,POCAHONTAS,IA,50574,42.71891,-94.69967,50581,42.84735,-94.54506,Rolfe,IA
1,11.171943351,JACKSON COUNTY REGIONAL HEALTH CENTER,700 W GROVE ST,MAQUOKETA,IA,52060,42.10217,-90.67961,52075,42.16577,-90.47916,Springbrook,IA
